Metric,false,master,close,spread
L2_RQSTS:ALL_CODE_RD,"349590,489448,417698,409610,456494,401952,497520,453968","361042,434331,452111,411339,396272,436950,419573,422662","367121,471842,493634,426243,390608,418829,471525,540089","364201,430132,426007,503581,411537,444286,436766,1766084"
L2_RQSTS:CODE_RD_HIT,"26275,135937,119556,128252,141582,179748,208009,222511","28201,111605,131152,136224,142444,203639,190917,206406","27798,133066,162103,170688,184175,252409,263725,250234","27658,107424,118155,205390,153688,218100,263315,223826"
L2_RQSTS:CODE_RD_MISS,"329310,351852,300965,278282,263081,221336,239102,222314","333068,325943,314486,277668,255177,226068,223910,227599","333306,325555,320607,277497,254593,227613,227559,225893","336512,325320,309043,292891,260761,225724,233476,236424"
L2_RQSTS:ALL_PF,"213292856,146518725,758304258,679390774,65458980,43552298,379933549,422651055","214157184,147592169,103259276,80331591,65851249,43388850,44152755,43351368","215156468,147387607,777514854,673527330,65475682,43221220,354617529,782600085","214516914,147390652,102810963,76314062,65527041,237235566,1284760135,316270026"
L2_RQSTS:PF_HIT,"131596540,89980657,63486575,51719236,45120141,171845329,563944922,1311210168","133081692,89822935,65019536,52041740,45323481,31335184,31658813,31383124","131437291,90426649,64870455,52011374,45029147,31335112,120385260,209772025","133510714,89889948,64667824,47046941,44838583,696794819,462242021,696245600"
L2_RQSTS:PF_MISS,"81298897,56400339,38127398,27165593,20493542,12310341,12066430,13910433","80972734,57902731,38141505,28180181,20407133,12068459,12363501,12195441","83239389,57111668,37575130,27493763,20747644,11692779,11920530,12234292","80340616,57491556,37913282,29259829,20402059,12250346,14735938,12255998"
L2_RQSTS:ALL_DEMAND_REFERENCES,"75773256,49333229,42401172,38924742,36784443,32109109,32029531,32019474","75815768,48716406,42045872,38864536,36800933,32319856,32332502,32296357","76517368,49049573,42094565,38920491,36793048,32106728,32362883,32257057","76352139,48930722,42273663,40604675,36709977,32410679,33503560,32342523"
L2_RQSTS:ALL_DEMAND_MISS,"32404653,11894010,9375994,7849545,6671757,5010402,505770117,329380677","32124782,11566930,9202886,7796769,6641137,5047840,4979639,5052235","32437182,11657387,9328372,7863991,6691703,4780743,182317474,314861460","32795481,11625430,9341492,9132408,729085112,5036609,206822122,138924996"
L2_RQSTS:REFERENCES,"288528064,195415962,144330757,118227740,102574211,944847473,356953090,75425364","290606723,196230080,144958551,118862919,102431443,75832762,76264155,75982756","291008990,196562223,779052800,118343586,102092405,604077129,341661755,767958757","290636656,196552461,145223698,116762263,102351875,76533022,472770751,697396935"
L2_RQSTS:MISS,"113617704,68348571,47517038,35006200,27217872,17473647,300842812,597189382","113249420,69357160,47365921,35722237,27068844,17292907,17257898,17212947","115712031,68836623,779031253,35486925,27487887,238749637,675138201,240798113","113113295,69048892,47372818,38365366,27164192,218767782,1108381135,877222480"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"29717358,10224503,7301574,5508589,4172602,554578980,1331868853,1739173507","30185666,10064559,7235523,5511096,4140184,2504634,2482221,2516767","30183871,10208746,7375546,5571953,4185794,2391535,569934926,358251149","30606333,10181901,7320557,7143351,595436323,2472719,1258586791,1233076514"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"4311059,3310077,3021217,2957338,2770619,2618188,1290390627,459240283","4270599,3381912,3129643,3057261,2846306,2680717,2669705,2673949","4509265,3364749,3112358,3054191,2881115,2462910,237358624,831167325","4268313,3408367,3135473,2443101,2860513,2639018,1235480250,91140111"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"323295,347599,303378,273819,265991,222278,1293204116,903546839","332683,325702,316424,277179,255213,227602,224035,225293","338193,333691,803790545,284980,258713,225232,267530930,686476544","338205,326639,301987,297749,255998,306558207,377981556,1174530199"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"37971571,33306544,21788036,14625825,10712445,5255874,306561471,1485934435","38112801,34678394,21972361,15152155,10522364,5082956,5080753,5059387","39490051,33691939,21370522,718479558,10779204,5289825,594027998,453705199","38040309,34228293,21712669,13442673,10576686,5128446,388211222,406748989"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"4102927,5246128,5213481,723160323,4864254,4221558,669374943,910966970","4019622,5539232,5362014,5305808,4898520,4089877,4041100,4163834","3992288,5449350,5254751,5214367,4925046,3540336,273595071,314635485","3956725,5531773,5350512,3111957,4900428,3969652,1155508492,1360074797"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"36947000,15594205,755833953,6245757,4090008,2411077,195346104,541663802","36085279,15133597,9071418,6423043,4236192,2441834,2488039,2434823","36399680,15532321,803049589,6279471,4250950,2327448,797967111,1097144426","35380529,15264677,9171854,11722359,4158833,2434383,360680630,1226301111"
RUNTIME,"0.42866,0.30264,0.24396,0.2265,0.21426,0.20316,0.25262,0.27152","0.4238,0.29946,0.25706,0.24482,0.25398,0.2698,0.35612,0.3839","0.42294,0.31468,0.26126,0.23564,0.22038,0.23814,0.25802,0.26272","0.42304,0.29874,0.25644,0.35982,0.21362,0.20876,0.32226,0.29926"
