Metric,false,master,close,spread
L2_RQSTS:ALL_RFO,"8972339,4287843,2877769,2339720,1757115,1422787,1201266,1284431","9007006,4287769,2867034,2330712,1758944,1451849,1356032,1342087","8987373,4246825,2871949,2344621,1772401,1261092,1437994,1341666","8975100,4356571,3008684,2361738,1776492,1245547,1391235,1303166"
L2_RQSTS:RFO_HIT,"7470129,3463234,2331488,1847582,1244078,938333,958366,921433","7405664,3573563,2392601,1884698,1273103,990744,964440,964508","7337013,3333469,2266312,1860395,1317945,955434,987981,949953","7316545,3624297,2739213,1929032,1244860,943935,943014,968030"
L2_RQSTS:RFO_MISS,"1501129,832713,495286,44588335,839067941,44812897,453798893,1008194329","1597737,821029,520621,435630,477230,450505,401872,446198","1650301,846861,49421799,926495042,872762835,96020058,785363991,922811807","1688866,788138,393726,447918,44652511,95783469,1160857794,379209"
L2_RQSTS:ALL_CODE_RD,"176582,157914,108756,82769,77233,61500,100383,46389","191874,144361,88486,75381,67008,46214,43309,45220","208153,153427,93578,80402,71513,98320,95529,48926","187242,140644,84467,79495,67344,55634,39223,52435"
L2_RQSTS:CODE_RD_HIT,"527,958,666,951,633,3346,5565,1928","592,525,502,771,646,1675,1817,1981","638,503,1043,620,487,5914,5402,1555","653,563,477,673,607,1065,1348,3783"
L2_RQSTS:CODE_RD_MISS,"172061,147809,90368,76674,82820,63521,88652,66872","195367,133861,86550,78488,63007,43750,41718,43257","205743,152187,91987,78077,64886,97797,88070,43916","187043,136466,93422,81580,67561,49213,41231,47511"
L2_RQSTS:ALL_PF,"1048565637,527328007,1194959344,302079950,228705019,173811415,129417465,935027110","1044208882,522715039,320475262,258381939,223097641,128211415,130614699,127957543","1059089661,512510576,1196211765,303571253,223632953,174601403,129336398,129133489","1054503926,519883172,1183711874,259457881,270295704,1001086301,961278028,396266373"
L2_RQSTS:PF_HIT,"933121796,453008670,346953982,237947979,751245366,733381500,1092531515,659918182","899162793,463883235,293831570,238222557,194168093,118489363,120747685,118296719","911919489,447597327,345988611,284306149,199326120,591541740,262151242,341756004","895550354,460150639,290747819,284468382,238993137,353201994,215288775,500651731"
L2_RQSTS:PF_MISS,"115899480,74119432,29764667,20439821,28861244,11633351,10679292,10484750","145823767,58317324,26521379,19894287,29233707,9604420,9832152,9678591","147215572,65022000,46510308,19708098,24199712,10586470,9144323,9892511","159109012,59241327,23551207,19186477,31897201,30282823,34004957,9490487"
L2_RQSTS:ALL_DEMAND_REFERENCES,"21501996,13942071,7866329,6475309,5055857,3638884,3319327,3369303","22622392,11202467,7933664,5791290,5877651,3476431,3100935,3633128","22761783,14293088,7288328,6270597,5423969,3578591,3567706,3050985","23070141,11942023,7321122,6224533,5560165,3585336,3118090,3594798"
