Event Name,10000x500,10000x1000,10000x2000,50000x500,50000x1000,50000x2000
L2_RQSTS:DEMAND_DATA_RD_HIT,"883702,405578,294928,242213,210324,144708,135794,143739","2651560,1295150,726882,749081,552635,343745,378047,344021","9291318,3825964,2990946,2443024,2419375,1515982,2168099,1581575","4732481,2061847,1288989,1030155,1343914,793082,835694,837078","11473410,6352154,4030573,3352067,3238525,2092498,1581923,1521119","50086831,20116848,13002473,11703684,11800335,7309307,8891640,9294470"
L2_RQSTS:DEMAND_DATA_RD_MISS,"92633,42279,35967,21368,19155,14282,14007,13834","389064,120627,61349,50171,45123,25595,27323,25345","484025,268998,334341,135035,158821,55922,59046,53446","1044970,225866,150761,122122,97236,62340,64425,81787","997831,801012,387898,231151,243117,119939,118429,121300","4633266,1641716,881709,844805,828794,255696,295477,298527"
L2_RQSTS:ALL_RFO,"934991,470587,301345,239029,208953,143385,141780,142420","1896250,906978,630184,489143,381292,297632,285411,289640","4069624,1966210,1303973,928305,754236,561869,546731,567727","4485555,2326330,1483676,1182390,1012433,724937,710826,734870","9087433,4284646,2887918,2319056,1757791,1361036,1378041,1360342","18029193,9176671,6038117,4261654,3443233,2649540,2599777,2605436"
L2_RQSTS:RFO_HIT,"803016,397820,236894,187890,163150,99796,100050,101161","1458947,796978,533091,377475,252885,193845,191336,189365","2957248,1585505,993550,707280,541333,396265,388240,408201","3731980,1979299,1219382,957324,822624,504005,509535,512001","7458662,3554689,2255051,1843009,1229182,974925,972423,962297","14003699,7476657,4948665,3340813,2534701,1995184,1931753,2001982"
L2_RQSTS:RFO_MISS,"131382,67304,63587,60163,47578,44643,43538,39544","438115,201167,93255,116487,107331,87197,98753,97883","1120144,369812,305033,223456,211193,160590,154545,156714","739323,326048,266859,236046,220888,198016,205469,221027","1532842,874214,658014,487600,513460,424925,385620,404151","3987538,1571834,1175278,918547,916725,654950,664774,600791"
L2_RQSTS:ALL_CODE_RD,"17894,11484,11858,7703,7463,5378,5672,6049","44072,31411,22070,18279,15534,12713,14017,12465","104411,79290,46543,49277,43518,26684,27002,28657","80980,43574,39907,36729,27659,14994,17111,16478","213613,150066,94966,81901,71668,46895,48806,48562","513629,380242,238144,244540,209801,122758,117781,118339"
L2_RQSTS:CODE_RD_HIT,"172,332,538,810,713,1186,1824,2142","368,364,391,596,568,1183,1416,1942","275,469,520,506,655,1054,1565,2149","418,336,460,580,835,1266,1815,2204","828,572,769,1081,619,2046,1860,2518","891,749,683,1004,989,1863,1961,2155"
L2_RQSTS:CODE_RD_MISS,"17669,11809,10013,7239,6758,4003,4160,3806","42279,32706,21757,18368,15959,10633,10312,11086","104806,79842,47739,49301,41958,27045,25529,25146","81807,43595,39626,35296,28021,14581,14612,16013","218521,142320,92553,83667,72139,46201,44228,44959","510069,376057,243290,258322,200271,121162,112329,120689"
L2_RQSTS:ALL_PF,"53304253,27263398,18386956,13855654,11949958,8579744,8590633,8752956","211814767,104157273,63639704,51852225,44416606,26087428,25854551,26184300","851115310,408124395,287559527,200604132,172618601,103083367,101087390,102781350","267356154,135915100,87608718,69433246,58928527,43785590,42821803,43149607","1055697274,517960615,346945807,257478518,227895534,129971054,130661196,130433891","4364352173,2048959249,1441027123,998421364,839893442,514332539,506108351,507541815"
L2_RQSTS:PF_HIT,"46608452,24889503,15895383,12983050,10842148,7654662,7610031,7750086","180943779,92033524,58446727,47663596,40235500,23535236,23940197,23867737","758602427,365551736,239830180,181114490,146140161,96016209,94620487,95846823","223851628,124065290,80087383,65533205,53678994,38086009,38263411,38333869","948440501,455520916,300944527,237179654,203359233,120236179,120553784,120331844","3570749070,1811810480,1273549611,882357787,732125928,479833947,472824920,474159260"
L2_RQSTS:PF_MISS,"6616625,2435676,2476204,1217300,1164237,984676,1026172,1016553","30713018,12066333,5019955,4248964,4140675,1976112,2003221,2015128","93401180,42197840,47684777,19653417,26160044,6996146,7085210,7051061","43171762,11890977,7450204,5909726,5200675,5052393,4763687,4842219","107319634,62123952,46076008,20520425,24766040,10046776,9749474,9691498","792706740,236698573,167926246,115244637,110399484,34121788,33652536,33462846"
L2_RQSTS:ALL_DEMAND_REFERENCES,"1925445,920820,636225,505066,443314,304056,293257,323122","5192331,2376010,1434719,1250764,1031096,675499,709561,672075","13950284,6124556,4661920,3576412,3414889,2306382,2624715,2230881","10065936,4635637,2902258,2466094,2464614,1551193,1624302,1844391","21691470,11604905,7611365,6213837,5552568,3583157,3124595,3077706","69115181,34052299,20347396,18505797,17711841,10364162,11879248,11621575"
L2_RQSTS:ALL_DEMAND_MISS,"240929,132584,116638,81044,82672,61966,59693,62371","864982,344726,174821,178059,166711,138364,138094,133688","1690681,719627,683823,410329,414259,237536,235414,241547","1850746,602898,452842,373318,321794,253437,283221,285046","2784254,1712349,1148928,788297,812505,613993,568202,562168","9134508,3580606,2331865,1996076,1938153,1040675,1044992,1023671"
L2_RQSTS:REFERENCES,"55271259,28188086,19067030,14684950,12352808,8857858,9134701,9145750","217288121,106495804,65037039,53054071,45234321,26582388,26534522,26796433","864947362,413630441,292873022,203768066,175321522,104658104,104023705,105029825","277267400,140628756,90350372,73912994,60884864,45633563,44694329,44264817","1073470753,529271432,354299851,263578909,233465643,134018098,133668981,133710744","4434108804,2080043020,1463331599,1014177616,858970787,524577555,517809582,519749984"
L2_RQSTS:MISS,"6895756,2506275,2565441,1327444,1189765,1061461,1062701,1087594","31701257,12246085,5217503,4430282,4324593,2048053,2122733,2215670","95416555,42936484,48539378,19846206,26490161,7245756,7282003,7265058","45121418,12513884,7900398,6331733,5553894,5449213,5158265,5163522","110822907,63012639,47249935,21425109,25632255,10632877,10515916,10379246","801715057,238872140,170098312,117397214,112724423,35029281,34697528,34452554"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"111085,48671,45841,24568,22044,14993,14765,14871","480616,160160,69475,58932,57773,28842,30441,29025","702350,362724,443471,174516,227762,62647,66526,62735","1242271,256923,169121,120795,107081,69069,71017,74432","1187820,1023135,529518,264785,332983,134693,132326,134054","6557442,2118070,1279979,1046696,1084124,312573,322799,323130"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"126790,102007,109710,88379,63936,53605,53078,52351","407769,240511,134188,167228,163432,126604,126917,120308","786436,522151,413503,364246,315466,215809,212206,213072","886524,523201,384857,347526,286401,228299,246032,271031","1820049,1391009,971532,724716,753540,540787,511509,509965","4464646,2114055,1531723,1485383,1398014,867626,880718,812012"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"18320,11044,8698,11143,9964,4069,4023,4094","41329,32557,21259,22061,16076,10928,12513,11494","109929,77419,49897,52297,42117,26300,27463,25759","82404,57040,36195,36675,28851,14385,15185,15552","223240,159627,91530,83673,68210,44073,45621,47020","510589,377785,233872,241834,214553,129320,115275,115728"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"5733028,1952034,1863705,832251,828852,704228,741191,747899","26920209,10024982,4189644,3211233,3140312,1241250,1237781,1347583","80483501,36523245,43127469,16505350,22736133,5505105,5517122,5594355","37379027,9195045,5370439,4082804,3781030,3500404,3432562,3437665","91534328,52254553,39434076,15975410,19184192,6353058,6369617,6331350","716720590,208339546,145731309,100485633,94996009,26703657,26704437,26400719"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"177923,143786,144012,177327,151524,142059,159745,160306","566585,305184,174945,276540,220785,303817,292880,225415","1130484,666239,567030,418912,381711,385908,372267,399417","1206130,857227,642911,635772,592296,1125128,811576,1065872","2499392,1483410,1345942,1228082,1109054,1315629,1245629,1185418","6748362,3065645,2335557,1948149,1769393,1717703,1743085,1664965"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"697272,292892,381419,225793,154881,102230,94043,92000","3077836,1504535,569675,668393,704232,403905,430347,432082","11378701,4560117,4063597,2261181,2914548,1028338,1041953,1030207","4052343,1598693,1309741,1165308,749475,476755,443040,543222","12109423,7361696,4788076,3054914,4094406,2201803,2179089,2170327","66235198,23271790,19280074,12204974,13241282,5236721,5033010,5115429"
RUNTIME,"0.05952,0.042,0.0344,0.03666,0.03906,0.05882,0.10088,0.15966","0.20792,0.11544,0.08146,0.0793,0.07166,0.0989,0.15098,0.14792","0.78752,0.40926,0.29512,0.23418,0.20754,0.17078,0.20248,0.26488","0.28168,0.16168,0.11538,0.101,0.09674,0.10076,0.1412,0.13418","1.02454,0.53738,0.37746,0.30432,0.2729,0.21432,0.22834,0.27064","3.96276,1.99758,1.41254,1.082,0.92034,0.6256,0.67236,0.74096"
