Metric,false,master,close,spread
L2_RQSTS:ALL_CODE_RD,"2525,3281,3700,4265,5098,5311,5505,5881,5977,7183,8073","2393,2924,3239,3685,3067,3071,4029,3857,4382,4538,4850","2278,2631,3585,4622,5175,6276,5745,6347,6334,7555,7105","3160,3666,3770,3810,4183,4932,5473,5447,6520,6601,7136"
L2_RQSTS:CODE_RD_HIT,"2036,1800,2171,2691,3264,3175,4219,4104,4510,4643,5198","1586,1808,2488,2580,2347,2473,2845,3133,3413,3916,3812","1065,1169,1690,2725,3796,4594,4020,5148,5440,4558,5528","2070,2497,2664,2654,3224,3205,4349,5635,4805,5478,6297"
L2_RQSTS:CODE_RD_MISS,"1917,1383,1695,2006,2039,1908,1964,1960,1908,2009,2033","1011,1017,1015,1061,848,776,883,825,876,821,872","1177,1368,1493,1584,1550,1814,1601,1693,1511,1869,1687","1222,1434,1280,1450,1418,1657,1644,1823,1898,2362,2110"
L2_RQSTS:ALL_PF,"88332272,375755488,245923360,497375936,236183664,496961,418185,549434,155205,151751120,751669","78217,77554,77426,77563,77951,78462,77485,78938,79044,78332,79536","77893,76579,178192976,691261888,212971,236872656,437594,374994,151768848,280342,592899","44206200,410068864,266928288,313155968,79171,349516,212875,108702,787022,288382,645522"
L2_RQSTS:PF_HIT,"265001600,358007424,88421576,6363,5852,152587264,81558,239192064,195870,236642,506540","4447,3700,3839,4868,3972,3568,3393,3989,3945,3182,2474","3006,44259228,2807,313275392,182182,151678400,151208592,236158,502948,270990,267961","44128996,341860640,605078848,490472736,236619408,274346,102915,347345,247569,6576,202509"
L2_RQSTS:PF_MISS,"74694,74201,74701,73891,74686,75030,74033,74771,74587,74450,74665","74411,74662,74490,74048,74955,75193,74874,75266,74904,75002,75183","74369,74619,74430,74076,74274,74579,74360,74387,74488,74260,74378","74457,74717,74486,74353,74115,74599,74147,74548,74817,74251,74168"
L2_RQSTS:ALL_DEMAND_REFERENCES,"108350,138583,112683,109498,141834,143191,140361,116433,140730,117146,147630","111962,113019,114705,114250,106689,109240,127284,110554,109855,130846,111253","129746,112779,126529,114452,144548,117082,116832,116341,116436,145483,145876","140061,111945,141889,114909,116463,114560,148997,146953,118500,166094,145901"
L2_RQSTS:ALL_DEMAND_MISS,"3446,57164752,292054400,4289,521705,466715,527847,482078,5761,754470,317889","2945,3017,3423,4099,2591,3095,3488,3181,3342,3556,3906","3049,3705,267152352,322337088,239444,207661,633731,703679,236950048,345820,139983","3148,353547840,426142752,238868304,107111,40770,246023,151097680,4864,469201,151713680"
L2_RQSTS:REFERENCES,"214911792,133056400,646749440,216396,364825,210616,151510704,153386864,448127,657378,943591","191484,188591,212420,190755,186849,184637,186658,190704,187963,194311,209704","191731,190631,312106016,358322368,510912,315097,782095,597184,236124192,656568,423607","44344472,410477312,133670384,139247088,264325,245474,662285,757385,499274,689692,496267"
L2_RQSTS:MISS,"78202,300418656,832962112,199291472,465480,498836,412195,396149,553437,151899088,272386","77399,77779,77990,78241,77856,78287,78215,78582,78492,78951,79447","77504,78161,78483,422047616,260081,284574,144871,79357,455018,221673,641735","316427872,202466768,605130496,78512,447467,300827,540624,151256528,661723,542041,151269696"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"453,439439520,917677312,910,163644,207238,650120,1241,236644528,525797,151732576","403,495,548,555,652,810,832,942,1061,1216,1303","469,696,244233472,266590528,454310,1136,1088,422876,151862736,466286,562396","373245760,429878496,559787008,668,151463648,380046,351030,600335,457039,454828,151564096"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"372829472,615856704,567172672,961055168,2101,514683,187838,420508,122151,471483,333667","1704,1817,1731,2131,1758,1372,1435,1842,1446,1533,1588","154230768,1385,401227552,626352256,537416,242746,469544,482398,376572,34326,363415","145174176,536217632,851966400,735419456,391273,151286064,511688,151175216,151404512,489717,517760"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"410168128,476242048,573887744,730621248,236682560,671089,186628,532034,239617,297152,152338352","1059,979,1068,1247,787,824,907,891,917,906,839","1083,1438,750052352,558839936,411576,338829,1996,236555760,236529808,234574432,2142","279987840,246600608,190399696,484852480,367190,330108,404545,926900,167480,412079,428418"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"195090064,662395392,940889728,518364960,206836512,237342304,531700,364209,147064,166485,122092","3258,3322,3339,633,580,3350,3342,3482,3156,3549,3476","3225,154324192,509708064,781437440,151307088,236854784,864476,236191360,151573472,356,699975","495284064,568432384,592395136,133982440,151447808,380925,150659808,304665,298336,212142,603724"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"259388368,215652320,188830368,944630208,368642,152762416,236617392,690620,403646,413475,683828","70664,70901,70808,73571,73294,71051,71191,71060,71188,70796,71081","70805,71053,311849824,466284544,151437488,447189,513116,151165952,384386,381589,496208","373282624,385306464,515201984,555137344,151545024,151452736,666416,235608128,473119,481959,105362"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"113702944,362039456,677739968,390455264,152541968,151853600,375465,464698,433964,619016,185518","412,431,443,83,76,467,469,102,488,500,527","417,418,422188544,781004352,195565,178771,636973,34102,236803200,333768,467741","315961792,316034400,56833784,601815744,422428,234738,453703,452077,655757,229083504,232896944"
Runtime,"0.045,0.046,0.047,0.046,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.049,0.049","0.043,0.043,0.045,0.047,0.047,0.047,0.046,0.047,0.045,0.047,0.047,0.047,0.047","0.043,0.043,0.046,0.047,0.047,0.045,0.045,0.047,0.045,0.047,0.047,0.047,0.045","0.043,0.045,0.048,0.046,0.047,0.047,0.047,0.047,0.049,0.047,0.046,0.046,0.047","0.043,0.045,0.045,0.072,0.047,0.047,0.043,0.045,0.047,0.047,0.046,0.047,0.046"
