Metric,false,master,close,spread
CYCLE_ACTIVITY:STALLS_L3_MISS,"1698714240,1016365696,17326076,4219302400,24773606,791863936,1319731072,3301641728,1147974272,1403774464,147479408","16843588,18222744,15137975,15685611,16144400,15620706,16575149,17105500,15453927,19527212,15636963","25731852,19108080,831473664,2688799232,1922066048,1443732736,27727822,972202816,1448936192,2392154880,1448490752","1733634688,4487476736,1531754880,676879488,262362848,1041440000,907932800,3119947776,1307198208,1065718400,1361090432"
RESOURCE_STALLS,"1254543360,3097384704,3695801600,1656533376,1670490240,1762611200,1908204672,3789676544,2321396736,3025370624,1807348736","944012608,940532096,941323712,942626432,942094592,935959744,939924608,937542976,939670144,939774272,936142208","2749637376,1627086208,1637800960,3661109760,1630603136,3282707712,1652985600,4439146496,2584358912,2317068800,4604602368","2521583104,3631807232,3447475200,1637618944,1639861632,2881108224,2168548096,3385605120,1902575360,2422741504,2887603968"
L2_RQSTS:ALL_DEMAND_DATA_RD,"50010000,40560616,63385568,73151664,75653536,75681464,79326552,79274720,78232928,74928960,77680072","21167172,21198634,21121668,21174176,21306470,21280760,21089200,21122348,21143288,21106658,21143604","77779072,79340840,79425840,78514376,78461176,78376432,81300016,77771408,80811768,77828944,79461728","21143854,40847872,63882012,77159640,80572744,81562072,79998488,79561664,81920048,80946376,80344496"
L2_RQSTS:DEMAND_DATA_RD_HIT,"48745344,3480749056,1819919488,3547014912,3131789568,2362407168,247915232,1323136384,4523659776,2608372736,1251112704","21011468,21035592,20972664,21018936,21138990,21130984,20939712,20982272,20975344,20954472,21029880","78401336,78954624,4073951232,4857352704,785871360,3640960000,260871408,1951754112,1196364032,3005873920,81119248","443743552,2272493312,3099081984,2160061184,1020831360,3911598848,1843351808,1168497152,80997992,81682376,2598993920"
L2_RQSTS:DEMAND_DATA_RD_MISS,"153481,148886,150657,175582,183567,194065,179938,185832,181945,186412,206950","161521,158817,154859,163851,163756,162050,150015,153602,155105,149801,152968","159066,156653,151552,158849,158411,163947,173167,188999,181945,181807,200147","152541,151929,173702,181736,181003,197283,181146,191656,202966,200945,205646"
L2_RQSTS:ALL_RFO,"685450,659546,763376,807880,859297,848370,867614,852009,838915,847973,872524","565479,569673,565443,564893,578796,578091,576982,575510,577472,574589,577959","826793,829545,834421,850546,832762,822914,870500,876547,822139,813631,863851","577435,673667,780985,845028,863262,861275,855282,853435,871628,852468,869753"
L2_RQSTS:RFO_HIT,"665739,648402,729039,774937,830019,804775,816951,827985,845603,823272,847485","547249,552944,549918,550736,561331,561508,560250,559421,561489,558639,562543","806937,803495,840711,817060,812120,833581,837653,804739,816763,837338,849323","560120,653601,753418,834016,843720,847327,838971,848549,847179,842336,844371"
L2_RQSTS:RFO_MISS,"1392806144,345047104,1290329984,2009045504,277035872,2198334208,3118169856,2843178496,1547662976,4165728256,1096744704","16065,16313,16883,16726,16568,15636,16458,16124,16295,16349,18450","17512,17081,860519104,18101,18485,2968015616,1609859456,1727309056,20033,2728244224,20158","425318528,3112423168,1933311744,4193940224,237414768,2157223424,2147293184,639191232,2435186432,872314624,19694"
L2_RQSTS:ALL_CODE_RD,"15420,18784,17942,18119,21910,21154,23255,27322,24427,35683,34345","19281,21587,20234,19460,21811,23698,23001,23280,27056,28167,26981","12552,13103,13684,15349,18283,18212,20418,21297,23779,22732,22858","18164,18805,18439,14376,19149,20152,21461,24492,22455,23164,29918"
L2_RQSTS:CODE_RD_HIT,"3716,4050,4900,4895,6029,25438,8313,8969,17715,9342,12167","4152,4607,5054,5747,5629,6362,6542,6732,7509,8799,8718","4084,4125,4039,4241,5713,4592,6295,6604,9385,7023,8235","4154,4585,4552,4764,5370,5425,6649,6346,7467,7549,7573"
L2_RQSTS:CODE_RD_MISS,"11203,13042,11651,11358,14257,14977,15905,17026,18625,17173,17002","15891,15981,15504,14859,16196,16039,16093,18139,17837,19881,19902","8934,8754,11102,9990,12685,12686,13605,14893,14117,15656,16527","13439,15647,12042,10283,13549,13711,13985,15407,15861,15860,16082"
L2_RQSTS:ALL_PF,"3252350464,115822512,2514985472,6260132352,2184264704,111654280,2153443328,1139154560,3306435584,3001199104,4480209408","120624592,120697816,120923608,120919592,120644616,120748032,120642464,120636488,120592416,120694344,120602720","110165784,108691168,112387376,1853177728,3361350912,713722176,109070472,889247552,3074042112,113781176,2482060800","1781972480,1798010752,3283219200,1536680832,110686728,113666800,1675174016,109288920,2076296832,116406016,1742749440"
L2_RQSTS:PF_HIT,"58988324,1436974464,867037376,1130960640,4291525120,3237715200,2280127232,2690772992,757510720,1941759488,3595625984","56805496,56799412,56847360,56862056,56813500,56801676,56674736,56692652,56969720,56945664,57022696","59545856,71803736,4248212224,5617731584,534259968,472902080,591729600,66277360,1618305536,63575176,925512320","893272128,3157046016,464825152,2486331904,2862658816,668539840,61270700,2259699712,1643248000,1217633280,651526528"
L2_RQSTS:PF_MISS,"53885716,54614192,42854132,45667936,43690672,51034816,51395400,47649296,57193448,55609932,53381504","63837124,63910736,63914076,63953704,63936368,63976708,63977524,63899464,63720404,63749580,63677672","46355760,36358904,50849844,47431060,40097524,42583344,38278616,40083288,51497688,39283660,51314388","63957172,54707152,47695752,52792244,43912980,54866400,52194272,44475444,44581892,43041676,43051192"
L2_RQSTS:ALL_DEMAND_REFERENCES,"52409688,41295800,67160904,74325352,80296272,73685440,80095664,73356824,79670096,79271456,79449720","21761790,21775270,21712522,21761732,21905972,21895656,21680980,21675298,21736424,21741308,21749172","81107472,79826264,82480232,81272144,78611912,79045936,81336920,79082648,81382144,78158344,82146720","21705168,41707264,66530272,82296432,82374200,82580808,80332280,82089360,82055088,81570376,81577720"
