Metric,false,master,close,spread
L2_RQSTS:RFO_HIT,"979308,983051,973653,956199,929766,941239,970193,947189,974371,922372,943389","910497,969465,970778,968589,988179,980821,965372,912277,931190,869880,926484","965519,956601,964273,962085,955137,948660,933356,913021,939720,888195,940149","958817,898444,865717,940230,963465,908555,932263,943226,932753,903013,961142"
L2_RQSTS:RFO_MISS,"93096953,271810976,181946998,497452204,683274,930181,469378517,959272,560875,907119,1262772","400949,359425,387257,396638,426373,412090,448523,429222,422491,333309,456352","184633212,133495360,652722500,268551759,836933,1049033,1258945,799224,1273013,1067954,1136942","52476489,236988510,266796227,628733684,1188837,498331088,495441465,507509080,502664596,945697038,942390"
L2_RQSTS:ALL_CODE_RD,"97141,53219,97901,93076,78047,75842,112575,55337,55130,57910,59718","58452,45027,49075,48323,61000,52724,48524,49249,45429,49645,47945","101966,106247,105855,95419,91888,56232,95584,52477,96455,45560,75098","99597,38089,34507,46480,96626,99891,52017,96872,98865,48261,44787"
L2_RQSTS:CODE_RD_HIT,"7691,1531,2577,4646,1691,5280,4262,11580,15085,13649,5843","1769,2577,1973,2643,3107,2750,3212,2989,3398,4431,4310","8599,12540,4879,4931,5934,2226,8003,3254,13410,3074,3669","6347,946,11434,1885,6889,7343,14868,7933,8781,3331,3196"
L2_RQSTS:CODE_RD_MISS,"54920,61247,52542,89902,69174,77172,50321,70167,59469,94789,50486","46562,44792,47222,52970,57241,50403,58194,46158,40063,49410,43139","99841,92986,96069,46006,67401,37286,46658,47883,93037,95701,42780","90768,34441,64475,45212,90504,95430,49645,92772,93290,48164,45104"
L2_RQSTS:ALL_PF,"173246818,128171341,810568579,753776736,487523235,127738627,479588962,139799586,490349291,132277995,489801125","133014879,129231743,128568225,130783874,128202733,127397265,129301939,131079339,131351502,151869371,128187675","125728859,259448926,218191062,1064240440,157650581,154075421,128171388,130041490,537637493,153880557,126295916","280022925,448900287,153600207,174127127,128207222,131468589,521190322,499040625,508819604,157839945,131182788"
L2_RQSTS:PF_HIT,"161788529,345292378,883772891,905363492,119595090,911838705,118542355,115768302,488035235,709151286,503159118","119576032,119603377,119043601,120145731,119079820,118061601,120001014,119096021,119605829,119920926,117513472","115229036,249461747,295619636,481761932,116336504,115933804,116200887,502969104,534764887,118451280,928982407","209875990,405312250,397296583,1011797678,494922484,118185060,114524820,489670043,118038988,117434495,928790001"
L2_RQSTS:PF_MISS,"9790660,9426034,10509781,19385871,11028320,10731620,25846256,10080480,21271791,25338651,21371716","12947401,9307961,9674221,9746005,9550625,9680824,9982001,11538950,11700872,32073760,10540332","10730982,10181873,11880466,10375596,10902921,38171006,10825360,12034241,13303759,9431530,38700497","11821697,38148911,35857762,9624776,12577775,13968148,14990506,11989952,37694851,39092725,9846365"
L2_RQSTS:ALL_DEMAND_REFERENCES,"3374935,3343612,3261429,4021102,3393895,3291897,3093716,3702665,3094327,4247394,3627983","3405363,3754243,3708032,3145430,3185473,4043283,3168652,3820066,3161825,3829225,3708862","3855145,3421856,3474366,3666274,3404210,4806409,4153418,3330799,4261791,4748914,3941070","4679750,4812934,4729540,4972485,3490575,4210000,3893121,3140682,3953058,4268249,3017919"
L2_RQSTS:ALL_DEMAND_MISS,"557733739,243801393,624430,181911637,707449993,706408285,1166844,1370225,1018094,734560146,791745653","664034,576329,584949,566456,601574,616287,596439,568684,624214,662315,667523","603186846,89172425,401678182,179932581,498518627,927369,1329465,471656583,533570774,1541589,1077114","192985341,237335020,452422611,1331618260,498240619,1056277,1352079,491752791,474269782,1104031,933931"
L2_RQSTS:REFERENCES,"221756222,447212618,872693616,1112924305,134758023,490006779,680476355,131691691,493905112,135090030,131166816","136490224,131695975,132156016,133364914,131967686,131383615,132779632,134953561,134519845,155725273,132357897","609324477,307312882,407964853,132074460,499645138,506951101,506527782,134585338,132568290,130360419,159222888","130195369,530218638,1432814144,428711515,132497951,500096202,535667570,468787173,135820818,518090977,162476908"
L2_RQSTS:MISS,"149071297,1150039945,246972433,757584036,12731252,28077676,26347514,21533542,11015997,510582446,26685275","13628714,10343929,10574355,10344473,10173494,10361877,10616969,12355272,12370945,32591794,11133244","558811078,196427724,57199521,195722151,910114691,11674055,13802021,12915577,14551323,36652100,970123143","205633530,183730390,299094359,192975706,495788447,15057731,520587135,13648994,474885892,35801383,41172785"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"740569220,496644091,667825004,1086077519,464793963,218764,929560,399435,964854,501505134,694559448","159741,150738,149755,135404,144892,137660,135991,170022,155332,312862,168404","743253206,965471380,222933645,1325630482,731933,502585196,371498,500893634,922052,1121220,1323639","664607231,1175914571,548647236,1609723516,611702,1109533,378761,495938800,1144038,963073652,930302924"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"148791875,225705506,1052160157,1083539021,482560440,605383,691673012,494465695,711006660,495097411,719130882","612043,472673,567014,454524,545330,557700,551666,569132,532247,453552,564707","267424237,266220748,1131524207,492644197,912185,1334493,503903006,496039640,775740,935168810,960495","752953081,242343559,1325736247,1418608085,471334175,471843833,494035050,502473338,962446,1307714,933064309"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"773960360,810570339,933834067,1166357711,503689,496314,469613,464595,112975,370791,830598","47582,57279,46795,49256,50397,46666,46674,45606,43180,48055,44283","95912,274407277,868317248,133424941,470480472,614898,336782,444119,1008536,533597,90716","88058,1074727125,356695183,973794473,319388,917740404,688016,142001,935996058,527630591,499841935"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"559539069,807357427,236702887,1286776111,481165132,662881448,463498447,680796576,689084830,21213200,482421458","8471459,5987209,6094373,6320601,5875175,5961426,6273271,7655802,7816676,26390870,6489219","233665549,235490394,1000021967,546624727,926441110,512540175,482828320,34614828,528262086,509975284,31718116","612858828,79591789,395053812,928814107,471164546,501264176,528138002,7359682,497141470,6599279,6585834"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"140162925,810818111,941874763,1141993418,1773454,487515796,620580277,708981422,491569653,1842320,495764307","1291519,1133723,1351393,1199444,1373699,1273928,1318769,1234739,1183908,892612,1468603","230575645,362627491,731134079,1063157510,469778524,508673570,3071766,1841013,535519141,935006782,514468154","699982441,368509014,581848887,669768439,507339599,505743617,533828877,3470689,501383733,1371278,1529140"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"755749760,807930942,894542781,894999247,3564134,3221941,3815683,503294366,2558209,4139527,500657497","2879515,2144628,2255653,2146633,2159135,2138733,2182967,2780049,2557739,4534134,2423743","2417888,357905330,770792963,1026373646,2245254,509045920,2527396,498332862,3629686,933572812,2716948","805837774,1266061305,494213793,506241160,504799105,3640290,495342816,506001900,3390028,2806423,6628964"
Runtime,"0.563,0.322,0.183,0.175,0.175,0.179,0.176,0.173,0.167,0.176,0.171,0.194,0.185","0.594,0.317,0.186,0.182,0.221,0.18,0.172,0.17,0.197,0.171,0.171,0.174,0.177","0.611,0.336,0.18,0.188,0.384,0.306,0.239,0.506,0.317,0.376,0.608,0.663,0.698","0.54,0.311,0.171,0.184,0.18,0.175,0.179,0.176,0.172,0.18,0.205,0.179,0.203","0.606,0.325,0.182,0.192,0.331,0.173,0.18,0.172,0.328,0.17,0.328,0.27,0.293"
